0	5	5	1262.5	5	5	1262.5	5	5	1262.5
0.0628319	3.34024	-26.4159	906.76	5.31416	-26.4159	1760.92	4.33898	-25.3442	1262.5
0.125664	0.361804	-47.4033	1130.08	3.6544	-59.8058	2456.1	2.02061	-46.0077	1262.5
0.188496	-2.75947	-49.6765	1614.61	-0.10331	-82.767	3425.72	-1.06956	-49.0979	1262.5
0.251327	-4.79134	-32.3383	1670.73	-5.30372	-82.1179	4778.15	-3.75119	-33.4343	1262.5
0.314159	-4.93167	-2.23342	1218.56	-10.4633	-48.7937	6664.48	-5	-5	1262.5
0.376991	-3.12506	28.7532	901.671	-13.5291	16.9494	9295.52	-4.33898	25.3442	1262.5
0.439823	-0.0847173	48.3885	1171.08	-12.4642	101.955	12965.2	-2.02061	46.0077	1262.5
0.502655	2.98907	48.9208	1643.35	-6.05812	180.27	18083.7	1.06956	49.0979	1262.5
0.565487	4.88281	30.1399	1646.3	5.26859	218.334	25222.9	3.75119	33.4343	1262.5
0.628319	4.8489	-0.539696	1175.74	18.9869	185.231	35180.5	5	5	1262.5
0.69115	2.90072	-31.0063	901.404	30.6253	65.9325	49069.1	4.33898	-25.3442	1262.5
0.753982	-0.192617	-49.232	1213.75	34.768	-126.492	68440.9	2.02061	-46.0077	1262.5
0.816814	-3.20991	-48.0218	1668.22	26.8203	-344.946	95460.2	-1.06956	-49.0979	1262.5
0.879646	-4.95999	-27.8533	1617.98	5.14666	-513.463	133146	-3.75119	-33.4343	1262.5
0.942478	-4.75194	3.31123	1134.53	-27.1152	-545.8	185711	-5	-5	1262.5
1.00531	-2.6679	33.1685	905.96	-61.4088	-375.431	259026	-4.33898	25.3442	1262.5
1.06814	0.469387	49.9314	1257.59	-84.9978	10.4122	361286	-2.02061	46.0077	1262.5
1.13097	3.42137	46.9822	1688.95	-84.3436	544.469	503915	1.06956	49.0979	1262.5
1.19381	5.02264	25.4851	1586.09	-50.1336	1074.42	702853	3.75119	33.4343	1262.5
1.25664	4.64106	-6.07308	1095.41	17.3739	1389.41	980328	5	5	1262.5
1.31947	2.42726	-35.2337	915.287	104.673	1280.25	1.36735e+06	4.33898	-25.3442	1262.5
1.3823	-0.744783	-50.4846	1302.08	185.114	622.568	1.90715e+06	2.02061	-46.0077	1262.5
1.44513	-3.6228	-45.805	1705.28	224.231	-540.537	2.66007e+06	-1.06956	-49.0979	1262.5
1.50796	-5.07059	-23.0423	1551.02	190.268	-1949.42	3.71022e+06	-3.75119	-33.4343	1262.5
1.5708	-4.51659	8.81714	1058.85	67.7823	-3144.91	5.17496e+06	-5	-5	1262.5
1.63363	-2.17952	37.1957	929.275	-129.818	-3570.8	7.21795e+06	-4.33898	25.3442	1262.5
1.69646	1.018	50.89	1346.71	-354.178	-2755.13	1.00675e+07	-2.02061	46.0077	1262.5
1.75929	3.81362	44.4938	1717.03	-527.288	-529.759	1.4042e+07	1.06956	49.0979	1262.5
1.82212	5.10369	20.532	1513.17	-560.574	2783.29	1.95855e+07	3.75119	33.4343	1262.5
1.88496	4.3789	-11.5354	1025.27	-385.695	6305.48	2.73175e+07	5	5	1262.5
1.94779	1.92539	-39.0488	947.762	10.4903	8728.87	3.81021e+07	4.33898	-25.3442	1262.5
2.01062	-1.28823	-51.1464	1390.96	558.941	8662.96	5.31442e+07	2.02061	-46.0077	1262.5
2.07345	-3.99328	-43.0522	1724.06	1103.25	5151.03	7.41247e+07	-1.06956	-49.0979	1262.5
2.13628	-5.12185	-17.9617	1472.98	1426.9	-1780.91	1.03388e+08	-3.75119	-33.4343	1262.5
2.19911	-4.22839	14.2199	995.065	1315	-10746.4	1.44204e+08	-5	-5	1262.5
2.26195	-1.66563	40.7876	970.53	639.787	-19008.8	2.01133e+08	-4.33898	25.3442	1262.5
2.32478	1.5547	51.253	1434.29	-554.57	-23028.7	2.80537e+08	-2.02061	46.0077	1262.5
2.38761	4.16125	41.4846	1726.29	-2001.5	-19544.2	3.91289e+08	1.06956	49.0979	1262.5
2.45044	5.12501	15.3387	1430.92	-3229.5	-6968.39	5.45764e+08	3.75119	33.4343	1262.5
2.51327	4.0655	-16.8627	968.588	-3667.34	13323.2	7.61223e+08	5	5	1262.5
2.57611	1.40099	-42.4069	997.313	-2830.22	36365.8	1.06174e+09	4.33898	-25.3442	1262.5
2.63894	-1.81661	-51.2096	1476.22	-545.292	54148.6	1.4809e+09	2.02061	-46.0077	1262.5
2.70177	-4.31703	-39.7955	1723.68	2856.96	57574.7	2.06554e+09	-1.06956	-49.0979	1262.5
2.7646	-5.11316	-12.6708	1387.5	6474.49	39623.9	2.88098e+09	-3.75119	-33.4343	1262.5
2.82743	-3.8907	19.4562	946.148	8964.13	-1056.5	4.01834e+09	-5	-5	1262.5
2.89027	-1.13225	43.9021	1027.8	8897.75	-57379.8	5.60472e+09	-4.33898	25.3442	1262.5
2.9531	2.0732	51.0162	1516.24	5292.47	-113286	7.81737e+09	-2.02061	46.0077	1262.5
3.01593	4.46018	37.99	1716.28	-1825.5	-146540	1.09036e+10	1.06956	49.0979	1262.5
3.07876	5.08635	9.96583	1343.21	-11032.9	-135070	1.52081e+10	3.75119	33.4343	1262.5
3.14159	3.70451	-21.9927	928.008	-19519.5	-65748.2	2.1212e+10	5	5	1262.5
3.20442	0.86019	-45.2688	1061.63	-23650.6	56896.7	2.95862e+10	4.33898	-25.3442	1262.5
3.26726	-2.32372	-50.6735	1553.89	-20075.7	205498	4.12663e+10	2.02061	-46.0077	1262.5
